code_commune,department_code,name,centroid_lon,centroid_lat,address_count,postal_codes,min_lon,min_lat,max_lon,max_lat
80533,80,Mers-les-Bains,1.3920278244656676,50.06573698317433,2199,80350,1.380384,50.059267,1.418087,50.077351
80535,80,Le Mesge,2.0523967191011234,49.94541343820226,89,80310,2.045638,49.939416,2.056352,49.95099
80536,80,Mesnil-Bruntel,2.9603760783132533,49.89663315060241,166,80200,2.952995,49.894093,2.970309,49.903105
80537,80,Mesnil-Domqueur,2.0703520227272723,50.135999590909094,44,80620,2.059744,50.133592,2.075118,50.138005
80538,80,Mesnil-en-Arrouaise,2.9452493750000004,50.044022444444444,72,80360,2.941653,50.041644,2.950881,50.045834
80540,80,Mesnil-Martinsart,2.640876352517987,50.047041589928064,139,80300,2.63106,50.035343,2.652394,50.054795
80541,80,Mesnil-Saint-Georges,2.52419087755102,49.63937390816325,98,80500,2.51934,49.636192,2.532501,49.64694
80542,80,Mesnil-Saint-Nicaise,2.913924127090298,49.77678853511706,299,80190,2.9003,49.766375,2.926365,49.782961
80543,80,Métigny,1.9274291358024693,49.94476133333334,81,80270,1.924016,49.942168,1.930713,49.947194
80544,80,Mézerolles,2.2354276428571422,50.18780159821428,112,80600,2.226787,50.184674,2.243543,50.192089
80545,80,Mézières-en-Santerre,2.555485384030417,49.786254471482856,263,80110,2.548558,49.782551,2.572915,49.794808
80546,80,Miannay,1.7202587707006372,50.098762777070064,314,80132,1.672586,50.087439,1.729376,50.111044
80547,80,Millencourt,2.5870412480000002,50.001015160000016,125,80300,2.583176,49.998299,2.591607,50.003637
80548,80,Millencourt-en-Ponthieu,1.9000789479768796,50.15175017919075,173,80135,1.889474,50.147904,1.909715,50.155309
80549,80,Miraumont,2.7300324182825486,50.09386818559557,361,80300,2.71965,50.086622,2.739342,50.100313
80550,80,Mirvaux,2.394832391304348,50.003017246376785,69,80260,2.390661,50.001149,2.39863,50.005363
80552,80,Moislains,2.965015762640449,49.99044546629221,712,80200,2.941909,49.97403,2.972908,50.017912
80553,80,Molliens-au-Bois,2.384847093567251,49.988883228070186,171,80260,2.377718,49.986699,2.389933,49.998322
80554,80,Molliens-Dreuil,2.022380517928287,49.885139980079686,502,80540,2.00156,49.880492,2.0439,49.903346
80555,80,Monchy-Lagache,3.0439827302798963,49.852153748091595,393,80200,3.027456,49.834824,3.054559,49.872797
80556,80,Mons-Boubert,1.6623033717277476,50.127395861256474,382,80210,1.649464,50.114889,1.683225,50.138236
80557,80,Estrées-Mons,3.0060054834254153,49.87854744751385,362,80200,2.988168,49.859862,3.045903,49.891137
80558,80,Monsures,2.171868050420168,49.71076288235293,119,80160,2.164001,49.707514,2.188444,49.715022
80559,80,Montagne-Fayel,1.984147058252428,49.91335949514564,103,80540,1.978918,49.906083,1.998055,49.919157
80560,80,Montauban-de-Picardie,2.7793417155963303,50.0064132293578,109,80300,2.774553,50.004401,2.793434,50.008843
80561,80,Montdidier,2.5730935112903217,49.64797369709687,3100,80500,2.549197,49.63461,2.597461,49.658486
80562,80,Montigny-sur-l'Hallue,2.4421750119047614,49.98019990476192,84,80260,2.435976,49.978011,2.446574,49.98484
